[22:13:12.335] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:13:12.344] 93 iterations per epoch. 27900 max iterations 
[22:15:17.707] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:15:17.714] 93 iterations per epoch. 27900 max iterations 
[07:21:40.976] epoch 148/300  loss: 0.0272  loss_ce: 0.0079  lr: 0.005423  elapsed: 5.68h
[07:23:59.125] epoch 149/300  loss: 0.0313  loss_ce: 0.0081  lr: 0.005391  elapsed: 5.72h
[07:26:17.813] epoch 150/300  loss: 0.0302  loss_ce: 0.0079  lr: 0.005359  elapsed: 5.75h
[07:49:12.981] epoch 150 val_dice: 0.7758  best: 0.7793
[07:51:32.190] epoch 151/300  loss: 0.0286  loss_ce: 0.0079  lr: 0.005327  elapsed: 5.79h
[07:53:50.272] epoch 152/300  loss: 0.0299  loss_ce: 0.0078  lr: 0.005295  elapsed: 5.83h
[07:56:08.294] epoch 153/300  loss: 0.0284  loss_ce: 0.0077  lr: 0.005263  elapsed: 5.87h
[07:58:26.496] epoch 154/300  loss: 0.0289  loss_ce: 0.0080  lr: 0.005230  elapsed: 5.91h
[08:00:44.641] epoch 155/300  loss: 0.0314  loss_ce: 0.0078  lr: 0.005198  elapsed: 5.95h
[08:03:03.525] epoch 156/300  loss: 0.0302  loss_ce: 0.0077  lr: 0.005166  elapsed: 5.98h
[08:05:22.531] epoch 157/300  loss: 0.0288  loss_ce: 0.0078  lr: 0.005134  elapsed: 6.02h
[08:07:40.762] epoch 158/300  loss: 0.0280  loss_ce: 0.0078  lr: 0.005101  elapsed: 6.06h
[08:09:58.177] epoch 159/300  loss: 0.0324  loss_ce: 0.0076  lr: 0.005069  elapsed: 6.10h
[08:12:16.094] epoch 160/300  loss: 0.0271  loss_ce: 0.0076  lr: 0.005037  elapsed: 6.14h
[08:14:34.196] epoch 161/300  loss: 0.0298  loss_ce: 0.0078  lr: 0.005004  elapsed: 6.18h
[08:16:52.260] epoch 162/300  loss: 0.0307  loss_ce: 0.0076  lr: 0.004972  elapsed: 6.22h
[08:19:10.168] epoch 163/300  loss: 0.0323  loss_ce: 0.0079  lr: 0.004939  elapsed: 6.25h
[08:21:28.283] epoch 164/300  loss: 0.0270  loss_ce: 0.0077  lr: 0.004907  elapsed: 6.29h
[08:23:46.321] epoch 165/300  loss: 0.0311  loss_ce: 0.0078  lr: 0.004874  elapsed: 6.33h
[08:46:34.131] epoch 165 val_dice: 0.7749  best: 0.7793
[08:48:50.994] epoch 166/300  loss: 0.0282  loss_ce: 0.0077  lr: 0.004842  elapsed: 6.37h
[08:51:08.634] epoch 167/300  loss: 0.0281  loss_ce: 0.0076  lr: 0.004809  elapsed: 6.41h
[08:53:26.705] epoch 168/300  loss: 0.0339  loss_ce: 0.0075  lr: 0.004777  elapsed: 6.44h
[08:55:44.596] epoch 169/300  loss: 0.0304  loss_ce: 0.0074  lr: 0.004744  elapsed: 6.48h
[08:58:02.565] epoch 170/300  loss: 0.0312  loss_ce: 0.0074  lr: 0.004712  elapsed: 6.52h
[09:00:20.479] epoch 171/300  loss: 0.0313  loss_ce: 0.0076  lr: 0.004679  elapsed: 6.56h
[09:02:38.755] epoch 172/300  loss: 0.0264  loss_ce: 0.0074  lr: 0.004646  elapsed: 6.60h
[09:04:56.964] epoch 173/300  loss: 0.0260  loss_ce: 0.0076  lr: 0.004614  elapsed: 6.64h
[09:07:14.973] epoch 174/300  loss: 0.0301  loss_ce: 0.0075  lr: 0.004581  elapsed: 6.67h
